@relation expressiontrain

@attribute leyew real
@attribute leyeh real
@attribute nosew real
@attribute dicision {0,1,2}
@data

53,14.5462236,53,0
50.13333333,13.92353869,50.13333333,0
43.68918433,13.51833794,43.76470588,0
41.66666667,12.69546317,39.47368421,0
39.83959551,14.02741933,42.11111111,0
39.83959551,14.02741933,42.11111111,0
4.23999152,9.355605394,4.040610178,0
39.36842105,12.43905497,37.4,0
40.52631579,13.74780824,42.71191511,0
71.11790279,13.67429977,79.87836908,1
70.22222222,13.7358851,69.79272448,1
69.79272448,13.72616287,69.79272448,1
77.25,13.14596096,77.25,1
62.09032067,12.98872995,77.39767438,1
69.77777778,13.08049499,69.35099838,1
77.75,13.50897675,77.14960491,1
43,16.86598762,43,1
54.31174382,13.34416019,59.45454545,1
38.94117647,11.96537529,36.72115299,2
35.95024186,11.55181289,34.15732999,2
43.125,11.8683608,40.58823529,2
37.00141852,12.30363168,36.84904415,2
41.69263559,12.40849218,39.38371393,2
39.44444444,12.40849218,39.38371393,2
40.19707549,12.50534262,38.31578947,2
39.82747409,12.33356593,35.85520897,2
40.11111111,12.40227661,37.94747751,2

