@relation expressiontrain

@attribute mouthw NUMERIC
@attribute mouthh NUMERIC
@attribute reyew NUMERIC
@attribute reyeh NUMERIC
@attribute leyew NUMERIC
@attribute leyeh NUMERIC
@attribute nosew NUMERIC
@attribute decision  {0,1,2,3,4,5,6}
@data
7.974346719,32.26086957,11.61932788,13.49090909,53,14.5462236,53,0
7.51399121,37.6,11.24246697,13.19298246,50.13333333,13.92353869,50.13333333,0
7.15087165,29.73622053,11.1231835,12.82568003,43.68918433,13.51833794,43.76470588,0
6.876105518,29.97602876,11.20393145,12.29343018,41.66666667,12.69546317,39.47368421,0
7.356103737,27.00263195,11.00409682,13.29619957,39.83959551,14.02741933,42.11111111,0
7.356103737,27.00263195,11.00409682,13.29619957,39.83959551,14.02741933,42.11111111,0
3.210806495,6.163335514,2.345509682,9.264821092,4.23999152,9.355605394,4.040610178,0
6.857769237,32.52173913,11.01037912,12.46666667,39.36842105,12.43905497,37.4,0
7.472559206,30.77538953,11.51085478,13.27388928,40.52631579,13.74780824,42.71191511,0
5.958877342,22.86911054,10.08267892,13.4050354,71.11790279,13.67429977,79.87836908,1
5.641957668,25.19949024,9.752692057,13.16666667,70.22222222,13.7358851,69.79272448,1
5.797921143,24.30769231,9.752692057,13.43465045,69.79272448,13.72616287,69.79272448,1
5.618181818,24.7002477,9.252700804,12.60961926,77.25,13.14596096,77.25,1
5.777530118,22.27151504,9.484848485,12.99717974,62.09032067,12.98872995,77.39767438,1
5.708855011,19.625,9.544359067,13.36170213,69.77777778,13.08049499,69.35099838,1
5.552686186,17.77142857,9.454545455,12.95833333,77.75,13.50897675,77.14960491,1
7.818181818,28.66666667,14.66666667,16.86598762,43,16.86598762,43,1
5.921037791,20.42752806,10.06258065,13.03834384,54.31174382,13.34416019,59.45454545,1
7.270775317,12.97042258,11.44657465,11.61224818,38.94117647,11.96537529,36.72115299,2
8.044832189,13.15141453,12.03323602,11.791351,35.95024186,11.55181289,34.15732999,2
7.828283227,13.78897323,11.92394744,12.31946453,43.125,11.8683608,40.58823529,2
7.902135438,14.0687495,11.95923252,12.57142857,37.00141852,12.30363168,36.84904415,2
8.147475296,14.48677941,11.85186109,12.88993005,41.69263559,12.40849218,39.38371393,2
7.969483184,13.6513221,11.86007956,12.45422387,39.44444444,12.40849218,39.38371393,2
8.450845531,15.47535685,12.15148679,12.98138572,40.19707549,12.50534262,38.31578947,2
7.960108259,14.94536555,11.98502807,12.37195703,39.82747409,12.33356593,35.85520897,2
8.386282583,13.36120944,12.26942423,12.66666667,40.11111111,12.40227661,37.94747751,2
8.386282583,13.36120944,12.26942423,12.66666667,40.11111111,12.40227661,37.94747751,2
9.974346719,34.26086957,13.61932788,15.49090909,55,16.5462236,55,3
9.51399121,39.6,13.24246697,15.19298246,52.13333333,15.92353869,52.13333333,3
9.15087165,31.73622053,13.1231835,14.82568003,45.68918433,15.51833794,45.76470588,3
8.876105518,31.97602876,13.20393145,14.29343018,43.66666667,14.69546317,41.47368421,3
9.356103737,29.00263195,13.00409682,15.29619957,41.83959551,16.02741933,44.11111111,3
9.356103737,29.00263195,13.00409682,15.29619957,41.83959551,16.02741933,44.11111111,3
5.210806495,8.163335514,4.345509682,11.26482109,6.23999152,11.35560539,6.040610178,3
8.857769237,34.52173913,13.01037912,14.46666667,41.36842105,14.43905497,39.4,3
9.472559206,32.77538953,13.51085478,15.27388928,42.52631579,15.74780824,44.71191511,3
7.958877342,24.86911054,12.08267892,15.4050354,73.11790279,15.67429977,81.87836908,4
7.641957668,27.19949024,11.75269206,15.16666667,72.22222222,15.7358851,71.79272448,4
7.797921143,26.30769231,11.75269206,15.43465045,71.79272448,15.72616287,71.79272448,4
7.618181818,26.7002477,11.2527008,14.60961926,79.25,15.14596096,79.25,4
7.777530118,24.27151504,11.48484849,14.99717974,64.09032067,14.98872995,79.39767438,4
7.708855011,21.625,11.54435907,15.36170213,71.77777778,15.08049499,71.35099838,4
7.552686186,19.77142857,11.45454546,14.95833333,79.75,15.50897675,79.14960491,4
9.818181818,30.66666667,16.66666667,18.86598762,45,18.86598762,45,4
7.921037791,22.42752806,12.06258065,15.03834384,56.31174382,15.34416019,61.45454545,4
9.270775317,14.97042258,13.44657465,13.61224818,40.94117647,13.96537529,38.72115299,5
10.04483219,15.15141453,14.03323602,13.791351,37.95024186,13.55181289,36.15732999,5
9.828283227,15.78897323,13.92394744,14.31946453,45.125,13.8683608,42.58823529,5
9.902135438,16.0687495,13.95923252,14.57142857,39.00141852,14.30363168,38.84904415,5
10.1474753,16.48677941,13.85186109,14.88993005,43.69263559,14.40849218,41.38371393,5
9.969483184,15.6513221,13.86007956,14.45422387,41.44444444,14.40849218,41.38371393,5
10.45084553,17.47535685,14.15148679,14.98138572,42.19707549,14.50534262,40.31578947,5
9.960108259,16.94536555,13.98502807,14.37195703,41.82747409,14.33356593,37.85520897,5
10.38628258,15.36120944,14.26942423,14.66666667,42.11111111,14.40227661,39.94747751,5
10.38628258,15.36120944,14.26942423,14.66666667,42.11111111,14.40227661,39.94747751,5
11.27077532,16.97042258,15.44657465,15.61224818,42.94117647,15.96537529,40.72115299,6
12.04483219,17.15141453,16.03323602,15.791351,39.95024186,15.55181289,38.15732999,6
11.82828323,17.78897323,15.92394744,16.31946453,47.125,15.8683608,44.58823529,6
11.90213544,18.0687495,15.95923252,16.57142857,41.00141852,16.30363168,40.84904415,6
12.1474753,18.48677941,15.85186109,16.88993005,45.69263559,16.40849218,43.38371393,6
11.96948318,17.6513221,15.86007956,16.45422387,43.44444444,16.40849218,43.38371393,6
12.45084553,19.47535685,16.15148679,16.98138572,44.19707549,16.50534262,42.31578947,6
11.96010826,18.94536555,15.98502807,16.37195703,43.82747409,16.33356593,39.85520897,6
12.38628258,17.36120944,16.26942423,16.66666667,44.11111111,16.40227661,41.94747751,6
12.38628258,17.36120944,16.26942423,16.66666667,44.11111111,16.40227661,41.94747751,6
